year,state,state_po,state_fips,candidate,party,candidatevotes,totalvotes,percentvote
1976,Alabama,AL,1,"Carter, Jimmy",democrat,659170,1182850,55.73
1976,Alabama,AL,1,"Ford, Gerald",republican,504070,1182850,42.61
1976,Alaska,AK,2,"Ford, Gerald",republican,71555,123574,57.9
1976,Alaska,AK,2,"Carter, Jimmy",democrat,44058,123574,35.65
1976,Arizona,AZ,4,"Ford, Gerald",republican,418642,742719,56.37
1976,Arizona,AZ,4,"Carter, Jimmy",democrat,295602,742719,39.8
1976,Arkansas,AR,5,"Carter, Jimmy",democrat,498604,767535,64.96
1976,Arkansas,AR,5,"Ford, Gerald",republican,267903,767535,34.9
1976,California,CA,6,"Ford, Gerald",republican,3882244,7803770,49.75
1976,California,CA,6,"Carter, Jimmy",democrat,3742284,7803770,47.95
1976,Colorado,CO,8,"Ford, Gerald",republican,584278,1081440,54.03
1976,Colorado,CO,8,"Carter, Jimmy",democrat,460801,1081440,42.61
1976,Connecticut,CT,9,"Ford, Gerald",republican,719261,1386355,51.88
1976,Connecticut,CT,9,"Carter, Jimmy",democrat,647895,1386355,46.73
1976,Delaware,DE,10,"Carter, Jimmy",democrat,122461,235642,51.97
1976,Delaware,DE,10,"Ford, Gerald",republican,109780,235642,46.59
1976,District of Columbia,DC,11,"Carter, Jimmy",democrat,137818,168830,81.63
1976,District of Columbia,DC,11,"Ford, Gerald",republican,27873,168830,16.51
1976,Florida,FL,12,"Carter, Jimmy",democrat,1636000,3150631,51.93
1976,Florida,FL,12,"Ford, Gerald",republican,1469531,3150631,46.64
1976,Georgia,GA,13,"Carter, Jimmy",democrat,979409,1463152,66.94
1976,Georgia,GA,13,"Ford, Gerald",republican,483743,1463152,33.06
1976,Hawaii,HI,15,"Carter, Jimmy",democrat,147375,291301,50.59
1976,Hawaii,HI,15,"Ford, Gerald",republican,140003,291301,48.06
1976,Idaho,ID,16,"Ford, Gerald",republican,204151,340932,59.88
1976,Idaho,ID,16,"Carter, Jimmy",democrat,126549,340932,37.12
1976,Illinois,IL,17,"Ford, Gerald",republican,2364269,4721282,50.08
1976,Illinois,IL,17,"Carter, Jimmy",democrat,2271295,4721282,48.11
1976,Indiana,IN,18,"Ford, Gerald",republican,1183958,2220362,53.32
1976,Indiana,IN,18,"Carter, Jimmy",democrat,1014714,2220362,45.7
1976,Iowa,IA,19,"Ford, Gerald",republican,632864,1279303,49.47
1976,Iowa,IA,19,"Carter, Jimmy",democrat,619931,1279303,48.46
1976,Kansas,KS,20,"Ford, Gerald",republican,502752,957845,52.49
1976,Kansas,KS,20,"Carter, Jimmy",democrat,430421,957845,44.94
1976,Kentucky,KY,21,"Carter, Jimmy",democrat,615717,1167142,52.75
1976,Kentucky,KY,21,"Ford, Gerald",republican,531852,1167142,45.57
1976,Louisiana,LA,22,"Carter, Jimmy",democrat,661365,1277383,51.77
1976,Louisiana,LA,22,"Ford, Gerald",republican,587446,1277383,45.99
1976,Maine,ME,23,"Ford, Gerald",republican,236320,482968,48.93
1976,Maine,ME,23,"Carter, Jimmy",democrat,232279,482968,48.09
1976,Maryland,MD,24,"Carter, Jimmy",democrat,759612,1432273,53.04
1976,Maryland,MD,24,"Ford, Gerald",republican,672661,1432273,46.96
1976,Massachusetts,MA,25,"Carter, Jimmy",democrat,1429475,2547558,56.11
1976,Massachusetts,MA,25,"Ford, Gerald",republican,1030276,2547558,40.44
1976,Michigan,MI,26,"Ford, Gerald",republican,1893742,3651590,51.86
1976,Michigan,MI,26,"Carter, Jimmy",democrat,1696714,3651590,46.47
1976,Minnesota,MN,27,"Carter, Jimmy",democrat,1070440,1949931,54.9
1976,Minnesota,MN,27,"Ford, Gerald",republican,819395,1949931,42.02
1976,Mississippi,MS,28,"Carter, Jimmy",democrat,381329,768390,49.63
1976,Mississippi,MS,28,"Ford, Gerald",republican,366846,768390,47.74
1976,Missouri,MO,29,"Carter, Jimmy",democrat,998387,1953600,51.1
1976,Missouri,MO,29,"Ford, Gerald",republican,927443,1953600,47.47
1976,Montana,MT,30,"Ford, Gerald",republican,173703,328734,52.84
1976,Montana,MT,30,"Carter, Jimmy",democrat,149259,328734,45.4
1976,Nebraska,NE,31,"Ford, Gerald",republican,359219,606749,59.2
1976,Nebraska,NE,31,"Carter, Jimmy",democrat,233293,606749,38.45
1976,Nevada,NV,32,"Ford, Gerald",republican,101273,201876,50.17
1976,Nevada,NV,32,"Carter, Jimmy",democrat,92479,201876,45.81
1976,New Hampshire,NH,33,"Ford, Gerald",republican,185935,339627,54.75
1976,New Hampshire,NH,33,"Carter, Jimmy",democrat,147645,339627,43.47
1976,New Jersey,NJ,34,"Ford, Gerald",republican,1509688,3014472,50.08
1976,New Jersey,NJ,34,"Carter, Jimmy",democrat,1444653,3014472,47.92
1976,New Mexico,NM,35,"Ford, Gerald",republican,211419,416590,50.75
1976,New Mexico,NM,35,"Carter, Jimmy",democrat,201148,416590,48.28
1976,New York,NY,36,"Carter, Jimmy",democrat,3244165,6668262,48.65
1976,New York,NY,36,"Ford, Gerald",republican,2825913,6668262,42.38
1976,North Carolina,NC,37,"Carter, Jimmy",democrat,927365,1677906,55.27
1976,North Carolina,NC,37,"Ford, Gerald",republican,741960,1677906,44.22
1976,North Dakota,ND,38,"Ford, Gerald",republican,153684,297308,51.69
1976,North Dakota,ND,38,"Carter, Jimmy",democrat,136078,297308,45.77
1976,Ohio,OH,39,"Carter, Jimmy",democrat,2009959,4110456,48.9
1976,Ohio,OH,39,"Ford, Gerald",republican,2000626,4110456,48.67
1976,Oklahoma,OK,40,"Ford, Gerald",republican,545708,1092251,49.96
1976,Oklahoma,OK,40,"Carter, Jimmy",democrat,532442,1092251,48.75
1976,Oregon,OR,41,"Ford, Gerald",republican,492120,1029876,47.78
1976,Oregon,OR,41,"Carter, Jimmy",democrat,490407,1029876,47.62
1976,Pennsylvania,PA,42,"Carter, Jimmy",democrat,2328677,4620787,50.4
1976,Pennsylvania,PA,42,"Ford, Gerald",republican,2205604,4620787,47.73
1976,Rhode Island,RI,44,"Carter, Jimmy",democrat,227636,410584,55.44
1976,Rhode Island,RI,44,"Ford, Gerald",republican,181249,410584,44.14
1976,South Carolina,SC,45,"Carter, Jimmy",democrat,450807,802583,56.17
1976,South Carolina,SC,45,"Ford, Gerald",republican,346149,802583,43.13
1976,South Dakota,SD,46,"Ford, Gerald",republican,151505,300678,50.39
1976,South Dakota,SD,46,"Carter, Jimmy",democrat,147068,300678,48.91
1976,Tennessee,TN,47,"Carter, Jimmy",democrat,825879,1476346,55.94
1976,Tennessee,TN,47,"Ford, Gerald",republican,633969,1476346,42.94
1976,Texas,TX,48,"Carter, Jimmy",democrat,2082319,4071884,51.14
1976,Texas,TX,48,"Ford, Gerald",republican,1953300,4071884,47.97
1976,Utah,UT,49,"Ford, Gerald",republican,337908,541218,62.43
1976,Utah,UT,49,"Carter, Jimmy",democrat,182110,541218,33.65
1976,Vermont,VT,50,"Ford, Gerald",republican,100387,183902,54.59
1976,Vermont,VT,50,"Carter, Jimmy",democrat,77798,183902,42.3
1976,Virginia,VA,51,"Ford, Gerald",republican,836554,1697094,49.29
1976,Virginia,VA,51,"Carter, Jimmy",democrat,813896,1697094,47.96
1976,Washington,WA,53,"Ford, Gerald",republican,777732,1555534,50
1976,Washington,WA,53,"Carter, Jimmy",democrat,717323,1555534,46.11
1976,West Virginia,WV,54,"Carter, Jimmy",democrat,435864,750590,58.07
1976,West Virginia,WV,54,"Ford, Gerald",republican,314726,750590,41.93
1976,Wisconsin,WI,55,"Carter, Jimmy",democrat,1040232,2101336,49.5
1976,Wisconsin,WI,55,"Ford, Gerald",republican,1004987,2101336,47.83
1976,Wyoming,WY,56,"Ford, Gerald",republican,92717,156343,59.3
1976,Wyoming,WY,56,"Carter, Jimmy",democrat,62239,156343,39.81
1980,Alabama,AL,1,"Reagan, Ronald",republican,654192,1341929,48.75
1980,Alabama,AL,1,"Carter, Jimmy",democrat,636730,1341929,47.45
1980,Alaska,AK,2,"Reagan, Ronald",republican,86112,158445,54.35
1980,Alaska,AK,2,"Carter, Jimmy",democrat,41842,158445,26.41
1980,Arizona,AZ,4,"Reagan, Ronald",republican,529688,873945,60.61
1980,Arizona,AZ,4,"Carter, Jimmy",democrat,246843,873945,28.24
1980,Arkansas,AR,5,"Reagan, Ronald",republican,403164,837582,48.13
1980,Arkansas,AR,5,"Carter, Jimmy",democrat,398041,837582,47.52
1980,California,CA,6,"Reagan, Ronald",republican,4522994,8582938,52.7
1980,California,CA,6,"Carter, Jimmy",democrat,3082943,8582938,35.92
