year,state,state_po,state_fips,candidate,party,candidatevotes,totalvotes,percentvote
1976,Arizona,AZ,4,Sam Steiger,republican,321236,741210,43.34
1976,Arizona,AZ,4,Dennis DeConcini,democrat,400334,741210,54.01
1976,California,CA,6,S. I. (Sam) Hayakawa,republican,3748973,7470586,50.18
1976,California,CA,6,John V. Tunney,democrat,3502862,7470586,46.89
1976,Connecticut,CT,9,"Lowell P. Weicker, Jr.",republican,785683,1361666,57.70
1976,Connecticut,CT,9,Gloria Schaffer,democrat,561018,1361666,41.20
1976,Delaware,DE,10,Thomas C. Maloney,democrat,98042,224795,43.61
1976,Delaware,DE,10,"William V. Roth, Jr.",republican,125454,224795,55.81
1976,Florida,FL,12,Lawton Chiles,democrat,1799518,2857534,62.97
1976,Florida,FL,12,John Grady,republican,1057886,2857534,37.02
1976,Hawaii,HI,15,Spark M. Matsunaga,democrat,162305,302092,53.73
1976,Hawaii,HI,15,William Quinn,republican,122724,302092,40.62
1976,Indiana,IN,18,Richard G. Lugar,republican,1275833,2161187,59.03
1976,Indiana,IN,18,Vance Hartke,democrat,868522,2161187,40.19
1976,Maine,ME,23,Robert A. G. Monks,republican,193489,486193,39.80
1976,Maine,ME,23,Edmund S. Muskie,democrat,292704,486193,60.20
1976,Maryland,MD,24,"J. Glenn Beall, Jr.",republican,530439,1365290,38.85
1976,Maryland,MD,24,Paul S. Sarbanes,democrat,772101,1365290,56.55
1976,Massachusetts,MA,25,Michael S. Robertson,republican,722641,2491255,29.01
1976,Massachusetts,MA,25,Edward M. Kennedy,democrat,1726657,2491255,69.31
1976,Michigan,MI,26,Marvin L. Esch,republican,1635087,3490412,46.85
1976,Michigan,MI,26,"Donald W. Riegle, Jr.",democrat,1831031,3490412,52.46
1976,Minnesota,MN,27,Jerry Brekke,republican,478602,1912020,25.03
1976,Minnesota,MN,27,Hubert H. Humphrey,democrat,1290736,1912020,67.51
1976,Mississippi,MS,28,John C. Stennis,democrat,554433,554433,100.00
1976,Missouri,MO,29,John C. Danforth,republican,1090067,1914460,56.94
1976,Missouri,MO,29,Warren E. Hearnes,democrat,813571,1914460,42.50
1976,Montana,MT,30,Stanley C. Burger,republican,115213,321445,35.84
1976,Montana,MT,30,John Melcher,democrat,206232,321445,64.16
1976,Nebraska,NE,31,John Y. McCollister,republican,279284,593310,47.07
1976,Nebraska,NE,31,Edward Zorinsky,democrat,313805,593310,52.89
1976,Nevada,NV,32,David Towell,republican,63471,201899,31.44
1976,Nevada,NV,32,Howard W. Cannon,democrat,127214,201899,63.01
1976,New Jersey,NJ,34,"Harrison A. Williams, Jr.",democrat,1681140,2771390,60.66
1976,New Jersey,NJ,34,David F. Norcross,republican,1054508,2771390,38.05
1976,New Mexico,NM,35,Joseph M. Montoya,democrat,176382,413056,42.70
1976,New Mexico,NM,35,"Harrison ""Jack"" Schmitt",republican,234681,413056,56.82
1976,New York,NY,36,James L. Buckley,republican,2525139,6666875,37.88
1976,New York,NY,36,Daniel Patrick Moynihan,democrat,3238511,6666875,48.58
1976,North Dakota,ND,38,Robert Stroup,republican,103466,283062,36.55
1976,North Dakota,ND,38,Quentin N. Burdick,democrat,175772,283062,62.10
1976,Ohio,OH,39,Howard M. Metzenbaum,democrat,1941113,3920613,49.51
1976,Ohio,OH,39,"Robert Taft, Jr.",republican,1823774,3920613,46.52
1976,Pennsylvania,PA,42,H. John Heinz III,republican,2381891,4546353,52.39
1976,Pennsylvania,PA,42,William J. Green,democrat,2126977,4546353,46.78
1976,Rhode Island,RI,44,Richard P. Lorber,democrat,167665,398906,42.03
1976,Rhode Island,RI,44,John H. Chafee,republican,230329,398906,57.74
1976,Tennessee,TN,47,James R. Sasser,democrat,751180,1432046,52.46
